Date : 2023-01-09 22:09:54
Directory : d:\会议室预约系统\mini
Total : 171 files,  11610 codes, 2701 comments, 1238 blanks, all 15549 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         45 |      6,109 |      2,070 |        724 |      8,903 |
| CSS        |         23 |      3,384 |        373 |        499 |      4,256 |
| wxml       |         22 |      1,060 |        258 |          7 |      1,325 |
| JSON       |         74 |      1,004 |          0 |          5 |      1,009 |
| XML        |          3 |         26 |          0 |          0 |         26 |
| CSV        |          3 |         20 |          0 |          2 |         22 |
| Markdown   |          1 |          7 |          0 |          1 |          8 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                              |        171 |     11,610 |      2,701 |      1,238 |     15,549 |
| . (Files)                                                      |          7 |        286 |         44 |          5 |        335 |
| .idea                                                          |          3 |         26 |          0 |          0 |         26 |
| cloud                                                          |         63 |        716 |         54 |         46 |        816 |
| cloud\addEmployee                                              |          3 |         37 |          2 |          3 |         42 |
| cloud\addRoomAppointInfo                                       |          3 |         31 |          2 |          3 |         36 |
| cloud\addRoomInfo                                              |          3 |         38 |          2 |          2 |         42 |
| cloud\addStudent                                               |          3 |         39 |          2 |          2 |         43 |
| cloud\addTeacher                                               |          3 |         37 |          2 |          2 |         41 |
| cloud\addUserAppoint                                           |          3 |         31 |          2 |          2 |         35 |
| cloud\delEmployeeInfo                                          |          3 |         29 |          2 |          2 |         33 |
| cloud\delRoomInfoItem                                          |          3 |         29 |          2 |          2 |         33 |
| cloud\delStudentInfo                                           |          3 |         29 |          2 |          2 |         33 |
| cloud\delTeacherInfo                                           |          3 |         29 |          2 |          2 |         33 |
| cloud\generateQr                                               |          3 |         38 |          4 |          2 |         44 |
| cloud\getDateAppointList                                       |          3 |         29 |          7 |          3 |         39 |
| cloud\getOpenId                                                |          3 |         31 |          2 |          3 |         36 |
| cloud\getRoomInfo                                              |          3 |         26 |          2 |          2 |         30 |
| cloud\updateEmployeeInfo                                       |          3 |         39 |          2 |          2 |         43 |
| cloud\updateRoomAppointInfo                                    |          3 |         33 |          7 |          2 |         42 |
| cloud\updateRoomInfo                                           |          3 |         47 |          2 |          2 |         51 |
| cloud\updateSTInfo                                             |          3 |         33 |          2 |          2 |         37 |
| cloud\updateStudentInfo                                        |          3 |         40 |          2 |          2 |         44 |
| cloud\updateTeacherInfo                                        |          3 |         38 |          2 |          2 |         42 |
| cloud\updateUserAppointInfo                                    |          3 |         33 |          2 |          2 |         37 |
| data                                                           |         10 |        268 |          0 |          7 |        275 |
| pages                                                          |         86 |     10,258 |      2,602 |      1,166 |     14,026 |
| pages\addRoom                                                  |          4 |        799 |        150 |         76 |      1,025 |
| pages\admin                                                    |          4 |        223 |         46 |         35 |        304 |
| pages\appointedEdit                                            |          4 |        580 |        107 |         62 |        749 |
| pages\conditionSearch                                          |          4 |        584 |        165 |         68 |        817 |
| pages\handleAppointItem                                        |          4 |        503 |        104 |         51 |        658 |
| pages\handleEmployee                                           |          4 |        446 |        128 |         56 |        630 |
| pages\index                                                    |          4 |        311 |        221 |         43 |        575 |
| pages\jobFair                                                  |          2 |         21 |         29 |         19 |         69 |
| pages\newAppointment                                           |          4 |        717 |        306 |         71 |      1,094 |
| pages\registered                                               |          4 |        354 |         73 |         34 |        461 |
| pages\roleChoose                                               |          4 |        197 |         42 |         28 |        267 |
| pages\roomDetail                                               |          4 |      1,681 |        346 |        157 |      2,184 |
| pages\roomDetail2                                              |          4 |      1,114 |        307 |        124 |      1,545 |
| pages\roomsEdit                                                |          4 |        846 |        145 |         84 |      1,075 |
| pages\showRoomInfo                                             |          4 |        193 |         39 |         28 |        260 |
| pages\showRoomQrimg                                            |          4 |         80 |         35 |         20 |        135 |
| pages\showUserAppoint                                          |          4 |        412 |         95 |         49 |        556 |
| pages\studentRegistered                                        |          4 |        281 |         72 |         34 |        387 |
| pages\teacherRegistered                                        |          4 |        250 |         53 |         31 |        334 |
| pages\test                                                     |          4 |         66 |         31 |         19 |        116 |
