roomid,roomType,roomName,roomContactPhone,roomContactName,roomBriefInfo
4201,校企合作基地,巨龙基地,15778003016,梁先生,深圳市巨龙创视科技有限公司是以智能视频为核心的智能产品及智能系统解决方案提供商，公司面向全球提供安防行业解决方案、智能视频类产品、智能大数据及互联网智能设备和服务。
4208,校企合作基地,软通动力校企合作基地,15778003016,梁先生,软通动力是中国领先的软件与信息技术服务商，致力于成为具有全球影响力的数字技术服务领导企业，企业数字化转型可信赖合作伙伴。2005年，公司成立于北京，坚持扎根中国，服务全球市场。目前，在全球40余个城市设有近百个分支机构和超过20个全球交付中心，员工75000余人。  软通动力长期提供软件与数字技术服务和数字化运营服务，其中软件与数字技术服务包括咨询与解决方案、数字技术服务和通用技术服务。  2019年10月21日，胡润研究院发布《2019胡润全球独角兽榜》，软通动力排名第224位
3302,培训室,培训室一,15778003016,梁先生,用于开展技术培训
3303,培训室,培训室二,15778003016,梁先生,用于开展技术培训
2401,宣讲室,企业招聘宣讲室一,15778003016,梁先生,企业校招宣讲
2402,宣讲室,企业招聘宣讲室二,15778003016,梁先生,企业校招宣讲
1108,教室,1108教室,15778003016,梁先生,用于上课
1405,教室,1405教室,15778003016,梁先生,用于上课
2205,会议室,会议室一,15778003016,梁先生,开会用
2208,会议室,会议室二,15778003016,梁先生,开会用
4406,校企合作基地,力港网络校企合作基地,15778003016,梁先生,力港网络致力于打造原创、绿色、健康的软件服务平台，目前用户规模已超7000万人，覆盖了全国及东南亚、欧美等部分国际市场。
3207,校企合作基地,江西小绿车,15778003016,梁先生,江西小绿车科技有限公司是一家专注高校共享电动车的上市公司，由江西南昌启动，将打造江西前湖校区出行生态圈，昌北校区出行生态圈，瑶湖校区出行生态圈等，服务江西100万大学生10公里以内出行，开启高校亿级出行市场。
4202,校企合作基地,东信,15778003016,梁先生,中国—东盟信息港是按照国家“一带一路”倡议总体布局要求，建设更为紧密的中国—东盟命运共同体、21世纪海上丝绸之路的重要平台，也是落实中央赋予广西自治区“三大定位”新使命的重要举措，由中国和东盟各国共同建设，共筑“数字丝绸之路”。中国—东盟信息港已被列入《国家“十三五”规划》、《国家信息化发展战略纲要》、《国家“十三五”信息通信业发展纲要》、《中共中央国务院关于新时代推进西部大开发形成新格局的指导意见》四个国家级重大规划。
